"out_loc","survivors_b","0-25","25-50","50-75","75-100","100-125","125-150","150-175"
"Crabtree Creek","0-50",60841,9440,187,0,0,0,0
"Crabtree Creek","50-100",55663,8723,180,0,0,0,0
"Crabtree Creek","100-150",24923,3787,85,0,0,0,0
"Crabtree Creek","150-200",2199,364,10,0,0,0,0
"Crabtree Creek","200-250",0,1,0,0,0,0,0
"MF Paddy's","0-50",55581,12419,2481,5,0,0,0
"MF Paddy's","50-100",51852,11500,2240,9,0,0,0
"MF Paddy's","100-150",22256,4931,1043,4,0,0,0
"MF Paddy's","150-200",2059,416,85,0,0,0,0
"MF Paddy's","200-250",0,0,0,0,0,0,0
"Thomas Creek","0-50",58805,11175,652,0,0,0,0
"Thomas Creek","50-100",54104,10297,593,0,0,0,0
"Thomas Creek","100-150",23820,4474,267,0,0,0,0
"Thomas Creek","150-200",2098,404,27,0,0,0,0
"Thomas Creek","200-250",0,0,0,0,0,0,0
