"","n0_a_bin","n0_j_bin","condition","decision","0-50","50-100","100-150","150-200"
"1","0-25","0-43.75",1,1,0.715877437325905,0.284122562674095,0,0
"2","0-25","0-43.75",1,2,0.791348600508906,0.208651399491094,0,0
"3","0-25","0-43.75",1,3,0.771117166212534,0.228882833787466,0,0
"4","0-25","0-43.75",1,4,0.784415584415584,0.215584415584416,0,0
"5","0-25","0-43.75",1,5,0.804812834224599,0.195187165775401,0,0
"6","0-25","0-43.75",1,6,0.730113636363636,0.269886363636364,0,0
"7","0-25","0-43.75",1,7,0.766666666666667,0.233333333333333,0,0
"8","0-25","0-43.75",2,1,0.786486486486486,0.213513513513514,0,0
"9","0-25","0-43.75",2,2,0.767676767676768,0.232323232323232,0,0
"10","0-25","0-43.75",2,3,0.773109243697479,0.226890756302521,0,0
"11","0-25","0-43.75",2,4,0.77088948787062,0.22911051212938,0,0
"12","0-25","0-43.75",2,5,0.799457994579946,0.200542005420054,0,0
"13","0-25","0-43.75",2,6,0.822857142857143,0.177142857142857,0,0
"14","0-25","0-43.75",2,7,0.745398773006135,0.254601226993865,0,0
"15","0-25","0-43.75",3,1,0.714673913043478,0.285326086956522,0,0
"16","0-25","0-43.75",3,2,0.749354005167959,0.250645994832041,0,0
"17","0-25","0-43.75",3,3,0.819843342036554,0.180156657963446,0,0
"18","0-25","0-43.75",3,4,0.787179487179487,0.212820512820513,0,0
"19","0-25","0-43.75",3,5,0.762295081967213,0.237704918032787,0,0
"20","0-25","0-43.75",3,6,0.790368271954674,0.209631728045326,0,0
"21","0-25","0-43.75",3,7,0.76123595505618,0.23876404494382,0,0
"22","0-25","43.75-87.5",1,1,0.772348033373063,0.227651966626937,0,0
"23","0-25","43.75-87.5",1,2,0.770193401592719,0.229806598407281,0,0
"24","0-25","43.75-87.5",1,3,0.771028037383178,0.228971962616822,0,0
"25","0-25","43.75-87.5",1,4,0.779463243873979,0.220536756126021,0,0
"26","0-25","43.75-87.5",1,5,0.762897914379802,0.237102085620198,0,0
"27","0-25","43.75-87.5",1,6,0.755651237890204,0.244348762109795,0,0
"28","0-25","43.75-87.5",1,7,0.755750273822563,0.244249726177437,0,0
"29","0-25","43.75-87.5",2,1,0.774305555555556,0.225694444444444,0,0
"30","0-25","43.75-87.5",2,2,0.770402611534276,0.229597388465724,0,0
"31","0-25","43.75-87.5",2,3,0.764302059496567,0.235697940503432,0,0
"32","0-25","43.75-87.5",2,4,0.770547945205479,0.229452054794521,0,0
"33","0-25","43.75-87.5",2,5,0.766174801362088,0.233825198637911,0,0
"34","0-25","43.75-87.5",2,6,0.794928335170893,0.205071664829107,0,0
"35","0-25","43.75-87.5",2,7,0.753246753246753,0.246753246753247,0,0
"36","0-25","43.75-87.5",3,1,0.768421052631579,0.231578947368421,0,0
"37","0-25","43.75-87.5",3,2,0.756613756613757,0.243386243386243,0,0
"38","0-25","43.75-87.5",3,3,0.778429073856975,0.221570926143025,0,0
"39","0-25","43.75-87.5",3,4,0.785874439461883,0.214125560538117,0,0
"40","0-25","43.75-87.5",3,5,0.788416075650118,0.211583924349882,0,0
"41","0-25","43.75-87.5",3,6,0.808656036446469,0.191343963553531,0,0
"42","0-25","43.75-87.5",3,7,0.755056179775281,0.244943820224719,0,0
"43","0-25","87.5-131.25",1,1,0.759036144578313,0.240963855421687,0,0
"44","0-25","87.5-131.25",1,2,0.781144781144781,0.218855218855219,0,0
"45","0-25","87.5-131.25",1,3,0.772833723653396,0.227166276346604,0,0
"46","0-25","87.5-131.25",1,4,0.7665544332211,0.2334455667789,0,0
"47","0-25","87.5-131.25",1,5,0.793981481481482,0.206018518518519,0,0
"48","0-25","87.5-131.25",1,6,0.784738041002278,0.215261958997722,0,0
"49","0-25","87.5-131.25",1,7,0.772298006295908,0.227701993704092,0,0
"50","0-25","87.5-131.25",2,1,0.770419426048565,0.229580573951435,0,0
"51","0-25","87.5-131.25",2,2,0.771428571428571,0.228571428571429,0,0
"52","0-25","87.5-131.25",2,3,0.778156996587031,0.221843003412969,0,0
"53","0-25","87.5-131.25",2,4,0.792387543252595,0.207612456747405,0,0
"54","0-25","87.5-131.25",2,5,0.76989247311828,0.23010752688172,0,0
"55","0-25","87.5-131.25",2,6,0.744558991981672,0.255441008018328,0,0
"56","0-25","87.5-131.25",2,7,0.738527214514408,0.261472785485592,0,0
"57","0-25","87.5-131.25",3,1,0.720956719817768,0.279043280182232,0,0
"58","0-25","87.5-131.25",3,2,0.743562231759657,0.256437768240343,0,0
"59","0-25","87.5-131.25",3,3,0.769931662870159,0.230068337129841,0,0
