"plotArea","treatment","habitat","counts"
6,"no burn","mixed hardwood",1361
9.7,"no burn","mixed hardwood",2425
6.5,"partial burn","mixed hardwood",2611
8.3,"partial burn","riparian",786
5.3,"full burn","riparian",802
6.6,"partial burn","field",401
4.3,"no burn","pine",360
4.6,"partial burn","field",233
5.6,"partial burn","field",317
8.2,"partial burn","field",443
4.8,"full burn","pine",1175
9.1,"no burn","riparian",488
9.2,"full burn","pine",2229
7.6,"partial burn","mixed hardwood",3034
8,"no burn","field",290
8.4,"partial burn","field",514
7.9,"full burn","pine",1958
3.8,"no burn","pine",277
7.3,"no burn","pine",692
9.1,"no burn","field",301
5.2,"full burn","pine",1243
3.9,"no burn","riparian",274
5.6,"full burn","field",527
7.6,"partial burn","riparian",754
8.8,"full burn","pine",2211
8.2,"no burn","field",274
9.9,"no burn","mixed hardwood",2395
4.5,"full burn","mixed hardwood",3090
6.2,"full burn","field",535
7.6,"partial burn","mixed hardwood",2887
9.5,"partial burn","riparian",871
9.5,"partial burn","riparian",882
5.7,"no burn","field",165
5.8,"no burn","riparian",309
8.2,"full burn","mixed hardwood",5388
8.9,"no burn","field",335
8.7,"full burn","mixed hardwood",5898
5.9,"full burn","riparian",845
3.7,"partial burn","pine",545
5.5,"no burn","pine",496
9,"no burn","field",325
6.3,"partial burn","field",335
6.9,"full burn","riparian",1031
7.6,"full burn","riparian",1117
8,"full burn","pine",1980
7.4,"no burn","mixed hardwood",1812
6.4,"no burn","mixed hardwood",1615
6.9,"full burn","mixed hardwood",4473
9.9,"no burn","pine",880
5.4,"no burn","field",179
5.4,"partial burn","pine",864
5.5,"no burn","field",162
6.7,"full burn","pine",1660
5.2,"full burn","pine",1292
6.6,"partial burn","field",332
5.6,"no burn","riparian",265
4.2,"partial burn","pine",558
3.5,"no burn","pine",357
7.1,"no burn","pine",650
4.5,"partial burn","mixed hardwood",1798
3.7,"full burn","mixed hardwood",2517
7.9,"full burn","mixed hardwood",5247
5.3,"partial burn","field",307
8.4,"no burn","riparian",476
7.8,"full burn","riparian",1159
7.7,"no burn","field",290
4.8,"full burn","field",406
