"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"1","0-25","0-43.75",1,1,1,1,0,0,0
"2","0-25","0-43.75",1,1,2,1,0,0,0
"3","0-25","0-43.75",1,2,1,1,0,0,0
"4","0-25","0-43.75",1,2,2,1,0,0,0
"5","0-25","0-43.75",1,3,1,1,0,0,0
"6","0-25","0-43.75",1,3,2,1,0,0,0
"7","0-25","0-43.75",1,4,1,1,0,0,0
"8","0-25","0-43.75",1,4,2,1,0,0,0
"9","0-25","0-43.75",1,5,1,1,0,0,0
"10","0-25","0-43.75",1,5,2,1,0,0,0
"11","0-25","0-43.75",1,6,1,1,0,0,0
"12","0-25","0-43.75",1,6,2,1,0,0,0
"13","0-25","0-43.75",1,7,1,1,0,0,0
"14","0-25","0-43.75",1,7,2,1,0,0,0
"15","0-25","0-43.75",2,1,1,1,0,0,0
"16","0-25","0-43.75",2,1,2,1,0,0,0
"17","0-25","0-43.75",2,2,1,1,0,0,0
"18","0-25","0-43.75",2,2,2,1,0,0,0
"19","0-25","0-43.75",2,3,1,1,0,0,0
"20","0-25","0-43.75",2,3,2,1,0,0,0
"21","0-25","0-43.75",2,4,1,1,0,0,0
"22","0-25","0-43.75",2,4,2,1,0,0,0
"23","0-25","0-43.75",2,5,1,1,0,0,0
"24","0-25","0-43.75",2,5,2,1,0,0,0
"25","0-25","0-43.75",2,6,1,1,0,0,0
"26","0-25","0-43.75",2,6,2,1,0,0,0
"27","0-25","0-43.75",2,7,1,1,0,0,0
"28","0-25","0-43.75",2,7,2,1,0,0,0
"29","0-25","0-43.75",3,1,1,0.988571428571429,0.0114285714285714,0,0
"30","0-25","0-43.75",3,1,2,0.99,0.01,0,0
"31","0-25","0-43.75",3,2,1,0.989795918367347,0.0102040816326531,0,0
"32","0-25","0-43.75",3,2,2,0.986033519553073,0.0139664804469274,0,0
"33","0-25","0-43.75",3,3,1,0.995238095238095,0.00476190476190476,0,0
