"out_loc","n_fish","0-50","50-100","100-150","150-200","200-250"
"Crabtree Creek",1,251,0,0,0,0
"Crabtree Creek",2,605,0,0,0,0
"Crabtree Creek",3,586,0,0,0,0
"Crabtree Creek",4,566,0,0,0,0
"Crabtree Creek",5,525,0,0,0,0
"Crabtree Creek",6,570,0,0,0,0
"Crabtree Creek",7,613,0,0,0,0
"Crabtree Creek",8,535,0,0,0,0
"Crabtree Creek",9,514,0,0,0,0
"Crabtree Creek",10,532,0,0,0,0
"Crabtree Creek",11,539,0,0,0,0
"Crabtree Creek",12,528,0,0,0,0
"Crabtree Creek",13,573,0,0,0,0
"Crabtree Creek",14,576,0,0,0,0
"Crabtree Creek",15,581,0,0,0,0
"Crabtree Creek",16,569,0,0,0,0
"Crabtree Creek",17,563,0,0,0,0
"Crabtree Creek",18,532,0,0,0,0
"Crabtree Creek",19,573,0,0,0,0
"Crabtree Creek",20,571,0,0,0,0
"Crabtree Creek",21,583,0,0,0,0
"Crabtree Creek",22,583,0,0,0,0
"Crabtree Creek",23,617,0,0,0,0
"Crabtree Creek",24,518,0,0,0,0
"Crabtree Creek",25,572,0,0,0,0
"Crabtree Creek",26,540,0,0,0,0
"Crabtree Creek",27,543,0,0,0,0
"Crabtree Creek",28,557,0,0,0,0
"Crabtree Creek",29,596,0,0,0,0
"Crabtree Creek",30,589,0,0,0,0
"Crabtree Creek",31,543,0,0,0,0
"Crabtree Creek",32,561,0,0,0,0
"Crabtree Creek",33,557,0,0,0,0
"Crabtree Creek",34,525,0,0,0,0
"Crabtree Creek",35,572,0,0,0,0
"Crabtree Creek",36,546,0,0,0,0
"Crabtree Creek",37,574,0,0,0,0
"Crabtree Creek",38,590,0,0,0,0
"Crabtree Creek",39,552,0,0,0,0
"Crabtree Creek",40,543,0,0,0,0
"Crabtree Creek",41,542,0,0,0,0
"Crabtree Creek",42,581,0,0,0,0
"Crabtree Creek",43,554,0,0,0,0
"Crabtree Creek",44,541,0,0,0,0
"Crabtree Creek",45,548,0,0,0,0
"Crabtree Creek",46,510,0,0,0,0
"Crabtree Creek",47,587,0,0,0,0
"Crabtree Creek",48,573,0,0,0,0
"Crabtree Creek",49,608,0,0,0,0
"Crabtree Creek",50,571,0,0,0,0
"Crabtree Creek",51,569,0,0,0,0
"Crabtree Creek",52,546,0,0,0,0
"Crabtree Creek",53,553,0,0,0,0
"Crabtree Creek",54,585,0,0,0,0
"Crabtree Creek",55,516,0,0,0,0
"Crabtree Creek",56,601,0,0,0,0
"Crabtree Creek",57,515,0,0,0,0
"Crabtree Creek",58,573,0,0,0,0
"Crabtree Creek",59,518,0,0,0,0
"Crabtree Creek",60,540,0,0,0,0
"Crabtree Creek",61,546,0,0,0,0
"Crabtree Creek",62,564,0,0,0,0
"Crabtree Creek",63,546,0,0,0,0
"Crabtree Creek",64,561,0,0,0,0
"Crabtree Creek",65,558,0,0,0,0
"Crabtree Creek",66,622,0,0,0,0
"Crabtree Creek",67,592,0,0,0,0
"Crabtree Creek",68,530,0,0,0,0
"Crabtree Creek",69,574,0,0,0,0
"Crabtree Creek",70,617,0,0,0,0
"Crabtree Creek",71,536,1,0,0,0
"Crabtree Creek",72,525,0,0,0,0
"Crabtree Creek",73,501,0,0,0,0
"Crabtree Creek",74,535,2,0,0,0
"Crabtree Creek",75,568,5,0,0,0
"Crabtree Creek",76,537,3,0,0,0
"Crabtree Creek",77,557,3,0,0,0
"Crabtree Creek",78,516,4,0,0,0
"Crabtree Creek",79,555,6,0,0,0
"Crabtree Creek",80,538,7,0,0,0
"Crabtree Creek",81,577,11,0,0,0
"Crabtree Creek",82,545,15,0,0,0
"Crabtree Creek",83,518,13,0,0,0
"Crabtree Creek",84,534,24,0,0,0
"Crabtree Creek",85,546,21,0,0,0
"Crabtree Creek",86,517,26,0,0,0
"Crabtree Creek",87,535,28,0,0,0
"Crabtree Creek",88,511,31,0,0,0
"Crabtree Creek",89,505,50,0,0,0
"Crabtree Creek",90,523,49,0,0,0
"Crabtree Creek",91,495,47,0,0,0
"Crabtree Creek",92,501,56,0,0,0
"Crabtree Creek",93,478,57,0,0,0
"Crabtree Creek",94,513,65,0,0,0
"Crabtree Creek",95,514,65,0,0,0
"Crabtree Creek",96,442,70,0,0,0
"Crabtree Creek",97,458,90,0,0,0
"Crabtree Creek",98,498,78,0,0,0
"Crabtree Creek",99,460,107,0,0,0
"Crabtree Creek",100,447,109,0,0,0
"Crabtree Creek",101,455,118,0,0,0
"Crabtree Creek",102,443,128,0,0,0
"Crabtree Creek",103,422,134,0,0,0
"Crabtree Creek",104,419,124,0,0,0
"Crabtree Creek",105,408,160,0,0,0
"Crabtree Creek",106,394,137,0,0,0
"Crabtree Creek",107,379,173,0,0,0
"Crabtree Creek",108,371,166,0,0,0
"Crabtree Creek",109,352,194,0,0,0
"Crabtree Creek",110,369,174,0,0,0
"Crabtree Creek",111,361,177,0,0,0
"Crabtree Creek",112,358,187,0,0,0
"Crabtree Creek",113,381,228,0,0,0
"Crabtree Creek",114,349,199,0,0,0
"Crabtree Creek",115,354,198,0,0,0
"Crabtree Creek",116,342,210,0,0,0
"Crabtree Creek",117,326,266,0,0,0
"Crabtree Creek",118,296,246,0,0,0
"Crabtree Creek",119,285,257,0,0,0
"Crabtree Creek",120,296,273,0,0,0
"Crabtree Creek",121,289,249,0,0,0
"Crabtree Creek",122,260,272,0,0,0
"Crabtree Creek",123,261,270,0,0,0
"Crabtree Creek",124,255,268,0,0,0
"Crabtree Creek",125,256,304,0,0,0
"Crabtree Creek",126,256,282,0,0,0
"Crabtree Creek",127,243,327,0,0,0
"Crabtree Creek",128,249,330,0,0,0
"Crabtree Creek",129,229,313,0,0,0
"Crabtree Creek",130,235,308,0,0,0
"Crabtree Creek",131,210,323,0,0,0
"Crabtree Creek",132,187,332,0,0,0
"Crabtree Creek",133,197,357,0,0,0
"Crabtree Creek",134,205,365,0,0,0
"Crabtree Creek",135,179,358,0,0,0
"Crabtree Creek",136,186,356,0,0,0
"Crabtree Creek",137,180,378,0,0,0
"Crabtree Creek",138,181,418,0,0,0
"Crabtree Creek",139,156,404,0,0,0
"Crabtree Creek",140,157,434,0,0,0
"Crabtree Creek",141,158,420,0,0,0
"Crabtree Creek",142,165,449,1,0,0
"Crabtree Creek",143,133,419,0,0,0
"Crabtree Creek",144,164,470,0,0,0
"Crabtree Creek",145,151,430,0,0,0
"Crabtree Creek",146,151,402,0,0,0
"Crabtree Creek",147,129,406,0,0,0
"Crabtree Creek",148,131,426,0,0,0
"Crabtree Creek",149,125,449,1,0,0
"Crabtree Creek",150,124,422,0,0,0
"Crabtree Creek",151,116,465,0,0,0
"Crabtree Creek",152,116,453,6,0,0
"Crabtree Creek",153,107,436,0,0,0
"Crabtree Creek",154,109,431,2,0,0
"Crabtree Creek",155,94,463,3,0,0
"Crabtree Creek",156,100,465,5,0,0
"Crabtree Creek",157,94,494,2,0,0
"Crabtree Creek",158,91,440,5,0,0
"Crabtree Creek",159,97,453,8,0,0
"Crabtree Creek",160,88,465,10,0,0
"Crabtree Creek",161,68,476,3,0,0
"Crabtree Creek",162,68,483,6,0,0
"Crabtree Creek",163,85,465,7,0,0
"Crabtree Creek",164,81,473,7,0,0
"Crabtree Creek",165,61,462,9,0,0
"Crabtree Creek",166,65,490,10,0,0
"Crabtree Creek",167,71,495,14,0,0
"Crabtree Creek",168,66,504,10,0,0
"Crabtree Creek",169,71,461,18,0,0
"Crabtree Creek",170,66,490,16,0,0
"Crabtree Creek",171,53,482,17,0,0
"Crabtree Creek",172,37,460,28,0,0
"Crabtree Creek",173,58,486,20,0,0
"Crabtree Creek",174,55,482,29,0,0
"Crabtree Creek",175,59,459,25,0,0
"Crabtree Creek",176,43,485,30,0,0
"Crabtree Creek",177,40,472,39,0,0
"Crabtree Creek",178,42,482,38,0,0
"Crabtree Creek",179,35,422,50,0,0
