"n_fish","survival_b","0-50","50-100","100-150","150-200","200-250"
1,"0.2-0.3",66,0,0,0,0
1,"0.3-0.4",279,0,0,0,0
1,"0.4-0.5",298,0,0,0,0
1,"0.5-0.6",141,0,0,0,0
1,"0.6-0.7",11,0,0,0,0
2,"0.2-0.3",179,0,0,0,0
2,"0.3-0.4",570,0,0,0,0
2,"0.4-0.5",639,0,0,0,0
2,"0.5-0.6",293,0,0,0,0
2,"0.6-0.7",19,0,0,0,0
3,"0.2-0.3",150,0,0,0,0
3,"0.3-0.4",570,0,0,0,0
3,"0.4-0.5",670,0,0,0,0
3,"0.5-0.6",313,0,0,0,0
3,"0.6-0.7",15,0,0,0,0
4,"0.2-0.3",164,0,0,0,0
4,"0.3-0.4",577,0,0,0,0
4,"0.4-0.5",600,0,0,0,0
4,"0.5-0.6",305,0,0,0,0
4,"0.6-0.7",19,0,0,0,0
5,"0.2-0.3",133,0,0,0,0
5,"0.3-0.4",560,0,0,0,0
5,"0.4-0.5",633,0,0,0,0
5,"0.5-0.6",294,0,0,0,0
5,"0.6-0.7",14,0,0,0,0
6,"0.2-0.3",181,0,0,0,0
6,"0.3-0.4",568,0,0,0,0
6,"0.4-0.5",627,0,0,0,0
6,"0.5-0.6",319,0,0,0,0
6,"0.6-0.7",11,0,0,0,0
7,"0.2-0.3",162,0,0,0,0
7,"0.3-0.4",586,0,0,0,0
7,"0.4-0.5",651,0,0,0,0
7,"0.5-0.6",299,0,0,0,0
7,"0.6-0.7",14,0,0,0,0
8,"0.2-0.3",149,0,0,0,0
8,"0.3-0.4",569,0,0,0,0
8,"0.4-0.5",675,0,0,0,0
8,"0.5-0.6",281,0,0,0,0
8,"0.6-0.7",7,0,0,0,0
9,"0.2-0.3",117,0,0,0,0
9,"0.3-0.4",537,0,0,0,0
9,"0.4-0.5",640,0,0,0,0
9,"0.5-0.6",287,0,0,0,0
9,"0.6-0.7",17,0,0,0,0
10,"0.2-0.3",162,0,0,0,0
10,"0.3-0.4",589,0,0,0,0
10,"0.4-0.5",640,0,0,0,0
10,"0.5-0.6",259,0,0,0,0
10,"0.6-0.7",13,0,0,0,0
11,"0.2-0.3",147,0,0,0,0
11,"0.3-0.4",588,0,0,0,0
11,"0.4-0.5",635,0,0,0,0
11,"0.5-0.6",249,0,0,0,0
11,"0.6-0.7",15,0,0,0,0
12,"0.2-0.3",124,0,0,0,0
12,"0.3-0.4",546,0,0,0,0
12,"0.4-0.5",657,0,0,0,0
12,"0.5-0.6",288,0,0,0,0
12,"0.6-0.7",21,0,0,0,0
13,"0.2-0.3",167,0,0,0,0
13,"0.3-0.4",559,0,0,0,0
13,"0.4-0.5",659,0,0,0,0
13,"0.5-0.6",292,0,0,0,0
13,"0.6-0.7",16,0,0,0,0
14,"0.2-0.3",181,0,0,0,0
14,"0.3-0.4",612,0,0,0,0
14,"0.4-0.5",620,0,0,0,0
14,"0.5-0.6",306,0,0,0,0
14,"0.6-0.7",12,0,0,0,0
