"transport_time_b","handle_time_b","0.2-0.3","0.3-0.4","0.4-0.5","0.5-0.6","0.6-0.7"
"10-20","0-2",0,0,0,4920,4763
"10-20","2-4",0,0,0,12893,0
"10-20","4-6",0,0,4372,8746,0
"10-20","6-8",0,0,13037,0,0
"10-20","8-10",0,1510,8077,0,0
"20-30","0-2",0,0,0,8673,614
"20-30","2-4",0,0,0,12354,0
"20-30","4-6",0,0,9927,2395,0
"20-30","6-8",0,0,12286,0,0
"20-30","8-10",0,6243,3055,0,0
"30-40","0-2",0,0,0,9290,0
"30-40","2-4",0,0,3745,8667,0
"30-40","4-6",0,0,12297,0,0
"30-40","6-8",0,3013,9383,0,0
"30-40","8-10",0,9411,0,0,0
"40-50","0-2",0,0,0,9418,0
"40-50","2-4",0,0,9944,2510,0
"40-50","4-6",0,0,12369,0,0
"40-50","6-8",0,9273,2953,0,0
"40-50","8-10",0,9104,0,0,0
"50-60","0-2",0,0,3696,5550,0
"50-60","2-4",0,0,12274,0,0
"50-60","4-6",0,3047,9074,0,0
"50-60","6-8",0,12304,0,0,0
"50-60","8-10",0,9101,0,0,0
"60-70","0-2",0,0,8094,1205,0
"60-70","2-4",0,0,12185,0,0
"60-70","4-6",0,8584,3757,0,0
"60-70","6-8",0,12270,0,0,0
"60-70","8-10",2809,6568,0,0,0
"70-80","0-2",0,0,9281,0,0
"70-80","2-4",0,2532,9890,0,0
"70-80","4-6",0,12119,0,0,0
"70-80","6-8",0,12460,0,0,0
"70-80","8-10",8625,653,0,0,0
"80-90","0-2",0,0,9255,0,0
"80-90","2-4",0,8581,3764,0,0
"80-90","4-6",0,12366,0,0,0
"80-90","6-8",5567,6702,0,0,0
"80-90","8-10",9222,0,0,0,0
"90-100","0-2",0,2150,6621,0,0
"90-100","2-4",0,12005,0,0,0
"90-100","4-6",0,11863,0,0,0
"90-100","6-8",11145,608,0,0,0
"90-100","8-10",8831,0,0,0,0
