"transport_time_b","handle_time_b","0.2-0.3","0.3-0.4","0.4-0.5","0.5-0.6","0.6-0.7"
"10-20","0-2",0,0,0,5013,4746
"10-20","2-4",0,0,0,12830,0
"10-20","4-6",0,0,4380,8629,0
"10-20","6-8",0,0,12947,0,0
"10-20","8-10",0,1555,8391,0,0
"20-30","0-2",0,0,0,8627,595
"20-30","2-4",0,0,0,12553,0
"20-30","4-6",0,0,9822,2453,0
"20-30","6-8",0,0,12313,0,0
"20-30","8-10",0,6215,3082,0,0
"30-40","0-2",0,0,0,9346,0
"30-40","2-4",0,0,3696,8560,0
"30-40","4-6",0,0,12306,0,0
"30-40","6-8",0,3113,9264,0,0
"30-40","8-10",0,9277,0,0,0
"40-50","0-2",0,0,0,9230,0
"40-50","2-4",0,0,9915,2477,0
"40-50","4-6",0,0,12378,0,0
"40-50","6-8",0,9151,3146,0,0
"40-50","8-10",0,9373,0,0,0
"50-60","0-2",0,0,3672,5549,0
"50-60","2-4",0,0,12420,0,0
"50-60","4-6",0,2994,9270,0,0
"50-60","6-8",0,12369,0,0,0
"50-60","8-10",0,9138,0,0,0
"60-70","0-2",0,0,8149,1139,0
"60-70","2-4",0,0,12349,0,0
"60-70","4-6",0,8574,3662,0,0
"60-70","6-8",0,12407,0,0,0
"60-70","8-10",2762,6491,0,0,0
"70-80","0-2",0,0,9418,0,0
"70-80","2-4",0,2417,9780,0,0
"70-80","4-6",0,12225,0,0,0
"70-80","6-8",0,12335,0,0,0
"70-80","8-10",8731,615,0,0,0
"80-90","0-2",0,0,9277,0,0
"80-90","2-4",0,8592,3599,0,0
"80-90","4-6",0,12223,0,0,0
"80-90","6-8",5610,6777,0,0,0
"80-90","8-10",9276,0,0,0,0
"90-100","0-2",0,2165,6614,0,0
"90-100","2-4",0,11622,0,0,0
"90-100","4-6",0,11887,0,0,0
"90-100","6-8",11127,601,0,0,0
"90-100","8-10",8781,0,0,0,0
