"width","habitat","streamLength","counts"
0.8,"ag",40,2
1,"ag",50,3
1,"forest",50,74
0.5,"ag",25,0
0.6,"forest",30,16
0.7,"urban",35,11
0.5,"ag",25,1
0.7,"urban",35,14
0.6,"forest",30,21
0.6,"urban",30,9
0.6,"forest",30,17
0.7,"forest",35,27
0.9,"urban",45,20
0.8,"urban",40,16
1,"urban",50,34
1.1,"forest",55,110
0.8,"urban",40,23
0.7,"forest",35,22
0.6,"ag",30,0
1,"ag",50,4
1,"urban",50,33
1,"ag",50,3
0.7,"ag",35,2
0.8,"ag",40,3
0.8,"forest",40,45
1.2,"urban",60,53
0.6,"ag",30,0
0.7,"ag",35,2
0.5,"urban",25,4
0.9,"ag",45,2
1.3,"forest",65,191
1.2,"ag",60,10
0.8,"urban",40,12
1,"forest",50,78
0.5,"forest",25,20
0.9,"forest",45,49
1.2,"urban",60,68
0.6,"forest",30,14
1.1,"forest",55,98
0.5,"forest",25,16
0.9,"forest",45,55
0.9,"forest",45,52
0.8,"forest",40,31
0.7,"forest",35,21
1.2,"ag",60,12
0.8,"urban",40,12
0.7,"urban",35,10
0.6,"forest",30,12
0.7,"ag",35,0
0.9,"urban",45,23
0.6,"ag",30,2
0.5,"ag",25,1
0.9,"forest",45,46
0.9,"urban",45,21
0.6,"forest",30,20
0.9,"forest",45,54
0.7,"forest",35,27
1,"ag",50,2
1,"urban",50,31
1.3,"forest",65,201
1.2,"ag",60,17
1,"forest",50,94
0.6,"ag",30,0
1.2,"forest",60,143
0.7,"ag",35,3
1,"urban",50,31
1.2,"forest",60,135
0.5,"urban",25,5
0.9,"forest",45,36
0.6,"ag",30,2
0.8,"forest",40,32
0.8,"ag",40,3
0.8,"ag",40,3
0.5,"forest",25,7
1.3,"urban",65,80
0.9,"forest",45,64
0.8,"forest",40,41
1,"forest",50,72
0.6,"forest",30,19
0.7,"forest",35,23
1,"urban",50,32
0.5,"forest",25,13
1,"urban",50,25
0.9,"ag",45,3
1.2,"ag",60,7
0.5,"urban",25,5
1.2,"ag",60,17
