"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","mortalityType","0-162.5","162.5-325","325-487.5","487.5-650"
"1","0-43.75","0-12.5","0-25",1,1,1,1,0,0,0
"2","0-43.75","0-12.5","0-25",1,1,2,1,0,0,0
"3","0-43.75","0-12.5","0-25",1,2,1,1,0,0,0
"4","0-43.75","0-12.5","0-25",1,2,2,1,0,0,0
"5","0-43.75","0-12.5","0-25",1,3,1,1,0,0,0
"6","0-43.75","0-12.5","0-25",1,3,2,1,0,0,0
"7","0-43.75","0-12.5","0-25",1,4,1,1,0,0,0
"8","0-43.75","0-12.5","0-25",1,4,2,1,0,0,0
"9","0-43.75","0-12.5","0-25",1,5,1,1,0,0,0
"10","0-43.75","0-12.5","0-25",1,5,2,1,0,0,0
"11","0-43.75","0-12.5","0-25",1,6,1,1,0,0,0
"12","0-43.75","0-12.5","0-25",1,6,2,1,0,0,0
"13","0-43.75","0-12.5","0-25",1,7,1,1,0,0,0
"14","0-43.75","0-12.5","0-25",1,7,2,1,0,0,0
"15","0-43.75","0-12.5","0-25",2,1,1,1,0,0,0
"16","0-43.75","0-12.5","0-25",2,1,2,1,0,0,0
"17","0-43.75","0-12.5","0-25",2,2,1,1,0,0,0
"18","0-43.75","0-12.5","0-25",2,2,2,1,0,0,0
"19","0-43.75","0-12.5","0-25",2,3,1,1,0,0,0
"20","0-43.75","0-12.5","0-25",2,3,2,1,0,0,0
"21","0-43.75","0-12.5","0-25",2,4,1,1,0,0,0
"22","0-43.75","0-12.5","0-25",2,4,2,1,0,0,0
"23","0-43.75","0-12.5","0-25",2,5,1,1,0,0,0
"24","0-43.75","0-12.5","0-25",2,5,2,1,0,0,0
"25","0-43.75","0-12.5","0-25",2,6,1,1,0,0,0
"26","0-43.75","0-12.5","0-25",2,6,2,1,0,0,0
"27","0-43.75","0-12.5","0-25",2,7,1,1,0,0,0
"28","0-43.75","0-12.5","0-25",2,7,2,1,0,0,0
"29","0-43.75","0-12.5","0-25",3,1,1,1,0,0,0
"30","0-43.75","0-12.5","0-25",3,1,2,1,0,0,0
"31","0-43.75","0-12.5","0-25",3,2,1,1,0,0,0
"32","0-43.75","0-12.5","0-25",3,2,2,1,0,0,0
"33","0-43.75","0-12.5","0-25",3,3,1,1,0,0,0
"34","0-43.75","0-12.5","0-25",3,3,2,1,0,0,0
"35","0-43.75","0-12.5","0-25",3,4,1,1,0,0,0
"36","0-43.75","0-12.5","0-25",3,4,2,1,0,0,0
"37","0-43.75","0-12.5","0-25",3,5,1,1,0,0,0
"38","0-43.75","0-12.5","0-25",3,5,2,1,0,0,0
"39","0-43.75","0-12.5","0-25",3,6,1,1,0,0,0
"40","0-43.75","0-12.5","0-25",3,6,2,1,0,0,0
"41","0-43.75","0-12.5","0-25",3,7,1,1,0,0,0
"42","0-43.75","0-12.5","0-25",3,7,2,1,0,0,0
"43","0-43.75","0-12.5","25-50",1,1,1,1,0,0,0
"44","0-43.75","0-12.5","25-50",1,1,2,1,0,0,0
"45","0-43.75","0-12.5","25-50",1,2,1,1,0,0,0
"46","0-43.75","0-12.5","25-50",1,2,2,1,0,0,0
"47","0-43.75","0-12.5","25-50",1,3,1,1,0,0,0
"48","0-43.75","0-12.5","25-50",1,3,2,1,0,0,0
"49","0-43.75","0-12.5","25-50",1,4,1,1,0,0,0
"50","0-43.75","0-12.5","25-50",1,4,2,1,0,0,0
"51","0-43.75","0-12.5","25-50",1,5,1,1,0,0,0
"52","0-43.75","0-12.5","25-50",1,5,2,1,0,0,0
"53","0-43.75","0-12.5","25-50",1,6,1,1,0,0,0
"54","0-43.75","0-12.5","25-50",1,6,2,1,0,0,0
"55","0-43.75","0-12.5","25-50",1,7,1,1,0,0,0
"56","0-43.75","0-12.5","25-50",1,7,2,1,0,0,0
"57","0-43.75","0-12.5","25-50",2,1,1,1,0,0,0
"58","0-43.75","0-12.5","25-50",2,1,2,1,0,0,0
"59","0-43.75","0-12.5","25-50",2,2,1,1,0,0,0
"60","0-43.75","0-12.5","25-50",2,2,2,1,0,0,0
"61","0-43.75","0-12.5","25-50",2,3,1,1,0,0,0
"62","0-43.75","0-12.5","25-50",2,3,2,1,0,0,0
"63","0-43.75","0-12.5","25-50",2,4,1,1,0,0,0
"64","0-43.75","0-12.5","25-50",2,4,2,1,0,0,0
"65","0-43.75","0-12.5","25-50",2,5,1,1,0,0,0
"66","0-43.75","0-12.5","25-50",2,5,2,1,0,0,0
"67","0-43.75","0-12.5","25-50",2,6,1,1,0,0,0
"68","0-43.75","0-12.5","25-50",2,6,2,1,0,0,0
"69","0-43.75","0-12.5","25-50",2,7,1,1,0,0,0
"70","0-43.75","0-12.5","25-50",2,7,2,1,0,0,0
"71","0-43.75","0-12.5","25-50",3,1,1,1,0,0,0
"72","0-43.75","0-12.5","25-50",3,1,2,1,0,0,0
"73","0-43.75","0-12.5","25-50",3,2,1,1,0,0,0
"74","0-43.75","0-12.5","25-50",3,2,2,1,0,0,0
"75","0-43.75","0-12.5","25-50",3,3,1,1,0,0,0
"76","0-43.75","0-12.5","25-50",3,3,2,1,0,0,0
"77","0-43.75","0-12.5","25-50",3,4,1,1,0,0,0
"78","0-43.75","0-12.5","25-50",3,4,2,1,0,0,0
"79","0-43.75","0-12.5","25-50",3,5,1,1,0,0,0
"80","0-43.75","0-12.5","25-50",3,5,2,1,0,0,0
"81","0-43.75","0-12.5","25-50",3,6,1,1,0,0,0
"82","0-43.75","0-12.5","25-50",3,6,2,1,0,0,0
"83","0-43.75","0-12.5","25-50",3,7,1,1,0,0,0
"84","0-43.75","0-12.5","25-50",3,7,2,0.989583333333333,0.0104166666666667,0,0
"85","0-43.75","0-12.5","50-75",1,1,1,1,0,0,0
"86","0-43.75","0-12.5","50-75",1,1,2,1,0,0,0
"87","0-43.75","0-12.5","50-75",1,2,1,1,0,0,0
"88","0-43.75","0-12.5","50-75",1,2,2,1,0,0,0
"89","0-43.75","0-12.5","50-75",1,3,1,1,0,0,0
"90","0-43.75","0-12.5","50-75",1,3,2,1,0,0,0
"91","0-43.75","0-12.5","50-75",1,4,1,1,0,0,0
"92","0-43.75","0-12.5","50-75",1,4,2,1,0,0,0
"93","0-43.75","0-12.5","50-75",1,5,1,1,0,0,0
"94","0-43.75","0-12.5","50-75",1,5,2,1,0,0,0
"95","0-43.75","0-12.5","50-75",1,6,1,1,0,0,0
"96","0-43.75","0-12.5","50-75",1,6,2,1,0,0,0
"97","0-43.75","0-12.5","50-75",1,7,1,1,0,0,0
"98","0-43.75","0-12.5","50-75",1,7,2,1,0,0,0
"99","0-43.75","0-12.5","50-75",2,1,1,1,0,0,0
"100","0-43.75","0-12.5","50-75",2,1,2,1,0,0,0
"101","0-43.75","0-12.5","50-75",2,2,1,1,0,0,0
"102","0-43.75","0-12.5","50-75",2,2,2,1,0,0,0
"103","0-43.75","0-12.5","50-75",2,3,1,1,0,0,0
"104","0-43.75","0-12.5","50-75",2,3,2,1,0,0,0
"105","0-43.75","0-12.5","50-75",2,4,1,1,0,0,0
